application_id,subject_id,app_date,region_code,product_code,lender_code,channel,requested_amount,tenor_months,decision
APP00000032,SUBJ000695613,2025-11-06,RIAU,MODAL,FIN005,Mobile App,200250000,180,APPROVE
APP00000033,SUBJ000634210,2025-04-17,SULUT,CC,BNK002,Agent,21590000,12,APPROVE
APP00000034,SUBJ000887204,2025-08-04,LAMPUNG,CC,FIN005,Agent,16610000,36,REJECT
APP00000035,SUBJ000274680,2025-02-22,DKI,KPR,BNK005,Branch,433490000,12,APPROVE
APP00000036,SUBJ000875136,2025-06-15,KALTIM,KKB,FIN001,Mobile App,111320000,12,APPROVE
APP00000037,SUBJ000220281,2026-01-14,RIAU,CC,BNK003,Branch,13660000,3,REJECT
APP00000038,SUBJ000248237,2025-09-13,LAMPUNG,KTA,FIN003,Agent,48450000,12,REJECT
APP00000039,SUBJ000431712,2025-06-16,PAPUA,FINTECH,FIN001,Branch,11450000,48,REVIEW
APP00000040,SUBJ000856253,2025-09-12,BANTEN,FINTECH,BNK002,Mobile App,3630000,120,APPROVE
APP00000041,SUBJ000906339,2026-04-17,BALI,FINTECH,BNK004,Mobile App,10590000,60,APPROVE
APP00000042,SUBJ000028941,2025-03-13,SULUT,KTA,FIN005,Mobile App,67570000,180,APPROVE
APP00000043,SUBJ000362479,2025-04-29,SULSEL,KTA,FIN004,Partner,38580000,6,REVIEW
APP00000044,SUBJ000457239,2025-11-18,SUMUT,MODAL,BNK002,Mobile App,181080000,36,APPROVE
APP00000045,SUBJ000073372,2025-01-02,RIAU,FINTECH,FIN005,Web,11510000,24,APPROVE
APP00000046,SUBJ000342027,2025-12-05,LAMPUNG,BNPL,BNK002,Web,2460000,36,REVIEW
APP00000047,SUBJ000315568,2026-02-17,LAMPUNG,KKB,BNK004,Mobile App,343300000,12,APPROVE
APP00000048,SUBJ000463638,2026-02-20,RIAU,CC,BNK005,Mobile App,22500000,48,APPROVE
APP00000049,SUBJ000649342,2025-08-07,SUMSEL,FINTECH,FIN006,Branch,4150000,180,REVIEW
APP00000050,SUBJ000048458,2025-12-10,JABAR,MODAL,BNK004,Web,107170000,24,APPROVE
APP00000051,SUBJ000402630,2025-09-08,PAPUA,BNPL,BNK002,Mobile App,4920000,24,REJECT
APP00000052,SUBJ000229471,2026-05-22,SUMUT,CC,FIN006,Branch,21770000,6,REVIEW
APP00000053,SUBJ000840346,2025-06-30,KALBAR,BNPL,FIN002,Branch,2250000,6,APPROVE
APP00000054,SUBJ000754213,2026-04-21,LAMPUNG,MODAL,FIN004,Mobile App,218600000,120,REVIEW
APP00000055,SUBJ000788295,2026-06-01,SUMUT,FINTECH,FIN002,Agent,11530000,120,APPROVE
APP00000056,SUBJ000299607,2025-09-11,SULSEL,KTA,FIN003,Mobile App,36750000,120,APPROVE
APP00000057,SUBJ000740734,2025-08-29,BANTEN,KTA,FIN003,Branch,30560000,60,REVIEW
APP00000058,SUBJ000807189,2025-08-08,DKI,KTA,FIN003,Mobile App,24360000,60,APPROVE
APP00000059,SUBJ000894905,2025-01-21,SULSEL,FINTECH,FIN001,Mobile App,13760000,36,REJECT
APP00000060,SUBJ000030434,2026-03-06,RIAU,BNPL,FIN004,Agent,3250000,36,APPROVE
APP00000061,SUBJ000560069,2026-02-03,BALI,BNPL,FIN001,Web,4730000,12,REJECT
APP00000062,SUBJ000190556,2025-01-28,SULUT,KKB,FIN005,Branch,259970000,12,REVIEW
APP00000063,SUBJ000997409,2025-02-21,BANTEN,KTA,FIN002,Mobile App,73290000,60,APPROVE
APP00000064,SUBJ000071951,2026-03-08,BANTEN,CC,BNK001,Web,7090000,48,APPROVE
APP00000065,SUBJ000701978,2025-02-11,KALTIM,MODAL,BNK004,Agent,190480000,24,APPROVE
APP00000066,SUBJ000171720,2025-04-28,RIAU,KTA,FIN006,Mobile App,45820000,6,REJECT
APP00000067,SUBJ000749747,2025-11-15,JABAR,CC,BNK005,Mobile App,25070000,60,APPROVE
APP00000068,SUBJ000629577,2025-07-23,DKI,BNPL,FIN005,Mobile App,4130000,36,REJECT
APP00000069,SUBJ000678998,2025-05-04,KALTIM,KKB,BNK001,Mobile App,199950000,48,APPROVE
APP00000070,SUBJ000456641,2025-12-16,DKI,KPR,FIN002,Branch,872550000,120,APPROVE
APP00000071,SUBJ000865845,2025-06-30,KALTIM,MODAL,BNK005,Web,253120000,120,APPROVE
APP00000072,SUBJ000700646,2025-10-02,BALI,KTA,BNK002,Mobile App,51560000,120,REVIEW
APP00000073,SUBJ000923082,2026-01-24,BALI,KPR,BNK006,Branch,348480000,36,APPROVE
APP00000074,SUBJ000251997,2025-10-10,RIAU,KKB,BNK004,Branch,281620000,120,APPROVE
APP00000075,SUBJ000609805,2026-05-03,LAMPUNG,KPR,BNK001,Branch,355120000,24,APPROVE
APP00000076,SUBJ000284076,2026-01-13,SUMUT,KKB,FIN001,Partner,234110000,48,REVIEW
APP00000077,SUBJ000774483,2025-11-10,BANTEN,CC,BNK004,Mobile App,21600000,12,APPROVE
APP00000078,SUBJ000378411,2026-05-11,BANTEN,KKB,FIN003,Mobile App,354540000,24,APPROVE
APP00000079,SUBJ000989949,2025-07-03,YOGYA,BNPL,BNK003,Mobile App,5290000,180,APPROVE
APP00000080,SUBJ000357256,2025-05-10,LAMPUNG,BNPL,BNK002,Agent,3610000,120,APPROVE
APP00000081,SUBJ000660021,2025-07-08,SULUT,KTA,FIN002,Branch,24570000,120,APPROVE
APP00000082,SUBJ000635770,2025-02-24,JATIM,FINTECH,BNK005,Branch,5980000,180,REVIEW
APP00000083,SUBJ000651194,2025-08-20,KALTIM,KTA,FIN002,Mobile App,61200000,60,APPROVE
APP00000084,SUBJ000182256,2025-03-03,RIAU,BNPL,BNK004,Web,2310000,6,APPROVE
APP00000085,SUBJ000296451,2025-03-18,JATIM,KTA,FIN006,Mobile App,40390000,24,APPROVE
APP00000086,SUBJ000571015,2026-04-10,DKI,KTA,BNK005,Web,63750000,24,APPROVE
APP00000087,SUBJ000864278,2025-08-19,LAMPUNG,FINTECH,BNK003,Branch,5060000,36,APPROVE
APP00000088,SUBJ000459023,2025-10-23,SUMUT,KPR,BNK005,Web,859870000,180,APPROVE
APP00000089,SUBJ000707053,2025-03-24,RIAU,FINTECH,FIN006,Mobile App,6000000,6,APPROVE
APP00000090,SUBJ000683157,2025-01-22,MALUKU,BNPL,BNK005,Mobile App,4410000,12,APPROVE
APP00000091,SUBJ000428184,2026-03-29,SULUT,CC,FIN004,Mobile App,23100000,6,APPROVE
APP00000092,SUBJ000419904,2025-12-08,BALI,CC,BNK003,Mobile App,20570000,36,REVIEW
APP00000093,SUBJ000001206,2025-02-07,SUMUT,KTA,BNK006,Branch,74080000,180,REJECT
APP00000094,SUBJ000213446,2026-04-19,SUMUT,CC,BNK006,Web,16470000,120,REJECT
APP00000095,SUBJ000638448,2025-10-01,RIAU,FINTECH,FIN002,Agent,8630000,3,REJECT
APP00000096,SUBJ000123172,2025-09-03,LAMPUNG,KTA,BNK001,Mobile App,26520000,6,APPROVE
APP00000097,SUBJ000255570,2025-06-07,SUMSEL,BNPL,FIN003,Web,2950000,120,REJECT
APP00000098,SUBJ000828381,2026-04-13,RIAU,KTA,FIN004,Mobile App,81550000,6,APPROVE
APP00000099,SUBJ000608093,2026-03-01,BALI,FINTECH,BNK005,Agent,6370000,36,REJECT
APP00000100,SUBJ000978166,2026-05-17,SULSEL,KPR,FIN002,Mobile App,586340000,180,APPROVE
APP00000101,SUBJ000780879,2025-11-26,SULSEL,MODAL,BNK004,Mobile App,109050000,60,APPROVE
APP00000102,SUBJ000038817,2026-04-30,LAMPUNG,FINTECH,FIN001,Partner,12070000,12,APPROVE
APP00000103,SUBJ000016093,2025-05-10,SUMSEL,KKB,BNK002,Agent,203290000,180,REJECT
APP00000104,SUBJ000726353,2025-05-28,SUMUT,BNPL,BNK003,Branch,4480000,36,APPROVE
APP00000105,SUBJ000930546,2026-02-12,LAMPUNG,FINTECH,FIN005,Agent,7460000,48,APPROVE
APP00000106,SUBJ000783041,2026-05-15,SULSEL,CC,BNK002,Mobile App,20370000,36,REJECT
APP00000107,SUBJ000947308,2025-04-03,SUMUT,CC,FIN005,Web,8110000,12,REVIEW
APP00000108,SUBJ000593418,2025-01-30,DKI,FINTECH,BNK005,Mobile App,8020000,24,APPROVE
APP00000109,SUBJ000668891,2025-07-04,JATIM,CC,FIN001,Web,11060000,12,APPROVE
APP00000110,SUBJ000991151,2025-09-18,SUMUT,BNPL,FIN002,Partner,4050000,12,APPROVE
APP00000111,SUBJ000403380,2025-12-20,PAPUA,KTA,FIN001,Web,51980000,36,APPROVE
APP00000112,SUBJ000870357,2026-05-10,JABAR,KTA,BNK006,Mobile App,89490000,36,APPROVE
APP00000113,SUBJ000946795,2026-02-10,BANTEN,KKB,FIN005,Web,352610000,120,REJECT
APP00000114,SUBJ000755948,2025-10-21,KALTIM,KTA,BNK006,Mobile App,33310000,36,REVIEW
APP00000115,SUBJ000767934,2025-05-21,LAMPUNG,FINTECH,FIN005,Branch,12030000,3,APPROVE
APP00000116,SUBJ000383629,2025-05-15,DKI,KTA,FIN006,Mobile App,34060000,180,REJECT
APP00000117,SUBJ000309478,2026-06-28,SUMSEL,KTA,BNK003,Mobile App,77730000,120,REJECT
APP00000118,SUBJ000843671,2025-12-13,KALBAR,KPR,BNK002,Branch,876550000,60,REJECT
APP00000119,SUBJ000862367,2026-01-10,DKI,KTA,BNK005,Mobile App,51840000,36,REVIEW
APP00000120,SUBJ000232120,2026-01-16,JABAR,KTA,BNK001,Web,86020000,48,REJECT
APP00000121,SUBJ000039019,2025-03-06,LAMPUNG,KPR,FIN006,Mobile App,485810000,12,APPROVE
APP00000122,SUBJ000995497,2025-11-08,MALUKU,CC,BNK004,Agent,8850000,120,APPROVE
APP00000123,SUBJ000293328,2026-03-06,RIAU,BNPL,FIN001,Web,4700000,60,REJECT
APP00000124,SUBJ000385178,2025-02-03,LAMPUNG,CC,FIN002,Partner,23960000,6,REJECT
APP00000125,SUBJ000672875,2026-01-03,DKI,KTA,BNK002,Partner,77690000,6,REVIEW
APP00000126,SUBJ000226441,2025-01-22,DKI,KTA,BNK003,Web,34360000,180,APPROVE
APP00000127,SUBJ000566456,2025-08-27,BALI,CC,FIN004,Branch,24030000,12,REJECT
APP00000128,SUBJ000016547,2025-09-14,KALTIM,CC,BNK001,Branch,13520000,24,APPROVE
APP00000129,SUBJ000379625,2025-06-28,BANTEN,CC,FIN001,Mobile App,21660000,120,APPROVE
APP00000130,SUBJ000674591,2026-06-10,RIAU,KPR,BNK004,Partner,230360000,180,APPROVE
APP00000131,SUBJ000084714,2025-02-01,DKI,KPR,FIN001,Mobile App,275570000,120,APPROVE
APP00000132,SUBJ000626410,2025-11-26,RIAU,CC,BNK005,Web,18290000,48,APPROVE
APP00000133,SUBJ000225468,2026-06-28,YOGYA,KKB,FIN001,Branch,276500000,180,APPROVE
APP00000134,SUBJ000327704,2026-03-17,SUMUT,KTA,BNK006,Agent,47910000,6,APPROVE
APP00000135,SUBJ000780758,2025-09-19,NTB,CC,FIN002,Branch,23470000,6,APPROVE
APP00000136,SUBJ000916043,2026-01-17,KALBAR,KKB,FIN004,Partner,237270000,6,APPROVE
APP00000137,SUBJ000688637,2026-03-10,SULSEL,BNPL,BNK005,Web,2680000,180,APPROVE
APP00000138,SUBJ000886209,2026-05-09,JATIM,CC,FIN003,Mobile App,22010000,24,REJECT
APP00000139,SUBJ000368074,2025-01-27,RIAU,BNPL,FIN006,Mobile App,1960000,36,REJECT
APP00000140,SUBJ000556251,2025-01-07,JATIM,CC,FIN005,Mobile App,8980000,3,APPROVE
APP00000141,SUBJ000163137,2025-08-09,NTB,KPR,BNK003,Mobile App,705120000,6,REJECT
APP00000142,SUBJ000434303,2025-06-11,KALTIM,CC,BNK002,Mobile App,19900000,120,REVIEW
APP00000143,SUBJ000323401,2025-10-07,JATIM,KKB,BNK006,Mobile App,159310000,120,APPROVE
APP00000144,SUBJ000801280,2025-02-16,JATIM,MODAL,BNK001,Branch,123300000,24,REVIEW
APP00000145,SUBJ000241288,2025-09-19,YOGYA,CC,FIN002,Web,9690000,60,APPROVE
APP00000146,SUBJ000482087,2026-05-28,RIAU,BNPL,BNK006,Branch,4820000,3,APPROVE
APP00000147,SUBJ000021869,2025-03-21,SULSEL,KKB,FIN004,Mobile App,259240000,36,APPROVE
APP00000148,SUBJ000111005,2025-11-29,JATIM,MODAL,FIN002,Agent,253150000,6,APPROVE
APP00000149,SUBJ000816964,2025-09-07,SUMUT,KTA,BNK002,Mobile App,41720000,48,APPROVE
APP00000150,SUBJ000858729,2025-06-22,DKI,BNPL,FIN003,Mobile App,5000000,48,APPROVE
APP00000151,SUBJ000810389,2025-06-01,BANTEN,CC,BNK004,Branch,9210000,6,APPROVE
APP00000152,SUBJ000657685,2026-05-21,SUMUT,KKB,FIN004,Mobile App,338760000,48,REJECT
APP00000153,SUBJ000077794,2025-11-20,JATIM,CC,FIN002,Web,22720000,3,APPROVE
APP00000154,SUBJ000531699,2025-11-14,SUMUT,CC,BNK006,Agent,7610000,6,APPROVE
APP00000155,SUBJ000498733,2026-01-29,SUMUT,KKB,FIN006,Agent,205930000,24,APPROVE
APP00000156,SUBJ000180941,2026-05-29,JATIM,CC,BNK002,Agent,23580000,6,APPROVE
APP00000157,SUBJ000296635,2025-02-10,BANTEN,KPR,FIN002,Mobile App,626860000,48,APPROVE
APP00000158,SUBJ000099096,2026-02-01,SUMUT,KTA,FIN004,Branch,64160000,48,APPROVE
APP00000159,SUBJ000611046,2026-01-31,YOGYA,BNPL,FIN005,Partner,3730000,12,APPROVE
APP00000160,SUBJ000394976,2025-05-25,SULUT,KTA,FIN005,Web,47440000,6,APPROVE
APP00000161,SUBJ000443973,2025-12-03,KALBAR,BNPL,FIN006,Partner,5030000,6,REVIEW
APP00000162,SUBJ000144247,2026-06-05,NTB,KTA,BNK003,Partner,43920000,120,APPROVE
APP00000163,SUBJ000353123,2025-06-08,DKI,FINTECH,BNK002,Mobile App,9250000,180,APPROVE
APP00000164,SUBJ000045814,2025-05-15,RIAU,CC,BNK003,Agent,22190000,12,REVIEW
APP00000165,SUBJ000250786,2026-02-25,NTB,BNPL,FIN002,Web,4360000,120,APPROVE
APP00000166,SUBJ000295459,2025-11-13,SULUT,FINTECH,BNK004,Mobile App,13810000,120,APPROVE
APP00000167,SUBJ000054714,2026-01-27,SUMSEL,KPR,BNK003,Agent,760880000,12,REVIEW
APP00000168,SUBJ000800185,2026-05-08,SULSEL,KKB,BNK002,Web,224450000,6,APPROVE
APP00000169,SUBJ000927601,2025-06-14,BANTEN,FINTECH,BNK003,Agent,4230000,24,REJECT
APP00000170,SUBJ000029556,2025-12-24,SULUT,KPR,FIN001,Mobile App,365040000,6,APPROVE
APP00000171,SUBJ000870068,2025-11-23,SULUT,FINTECH,FIN005,Mobile App,4840000,3,APPROVE
APP00000172,SUBJ000226130,2026-04-29,LAMPUNG,CC,FIN006,Mobile App,18920000,6,APPROVE
APP00000173,SUBJ000050068,2025-06-03,RIAU,BNPL,FIN003,Mobile App,4460000,24,APPROVE
APP00000174,SUBJ000017233,2025-09-02,SUMUT,FINTECH,FIN002,Branch,12570000,120,APPROVE
APP00000175,SUBJ000196412,2026-06-12,RIAU,BNPL,BNK005,Mobile App,3780000,24,REVIEW
APP00000176,SUBJ000409420,2025-03-29,RIAU,KTA,FIN003,Mobile App,75050000,180,REVIEW
APP00000177,SUBJ000768544,2026-04-27,DKI,KTA,BNK006,Mobile App,21140000,6,APPROVE
APP00000178,SUBJ000183594,2025-04-17,KALTIM,BNPL,BNK006,Branch,2680000,48,REJECT
APP00000179,SUBJ000211383,2026-04-21,PAPUA,KPR,BNK003,Agent,244170000,120,APPROVE
APP00000180,SUBJ000038399,2025-02-14,KALTIM,FINTECH,BNK006,Partner,8970000,180,APPROVE
APP00000181,SUBJ000458176,2025-07-15,YOGYA,FINTECH,BNK001,Agent,6920000,6,REVIEW
APP00000182,SUBJ000836020,2026-02-14,KALTIM,FINTECH,FIN001,Mobile App,5290000,120,APPROVE
APP00000183,SUBJ000336814,2026-06-16,BANTEN,CC,FIN001,Branch,18650000,12,APPROVE
APP00000184,SUBJ000368623,2025-04-16,DKI,BNPL,BNK005,Mobile App,4210000,12,REVIEW
APP00000185,SUBJ000668480,2026-04-03,DKI,FINTECH,BNK006,Web,8070000,3,APPROVE
APP00000186,SUBJ000070499,2026-02-20,NTB,FINTECH,FIN005,Branch,3550000,120,APPROVE
APP00000187,SUBJ000994913,2025-08-30,KALTIM,KTA,FIN001,Partner,22270000,12,REVIEW
APP00000188,SUBJ000261736,2026-01-15,NTB,FINTECH,FIN004,Branch,7310000,48,APPROVE
APP00000189,SUBJ000738237,2025-04-27,DKI,CC,FIN003,Mobile App,17800000,36,REJECT
APP00000190,SUBJ000077649,2026-04-02,JATIM,BNPL,FIN006,Partner,3260000,6,APPROVE
APP00000191,SUBJ000744007,2026-04-08,JATIM,BNPL,BNK002,Agent,5260000,48,REVIEW
APP00000192,SUBJ000533469,2025-03-08,RIAU,KTA,BNK005,Agent,69830000,12,REVIEW
APP00000193,SUBJ000386831,2025-08-18,JATENG,CC,BNK003,Mobile App,16370000,48,REVIEW
APP00000194,SUBJ000753789,2026-04-24,KALBAR,KKB,FIN004,Agent,98410000,60,REJECT
APP00000195,SUBJ000713145,2026-05-06,RIAU,FINTECH,FIN004,Branch,14090000,6,APPROVE
APP00000196,SUBJ000954951,2026-06-14,BALI,FINTECH,FIN003,Web,5240000,12,APPROVE
APP00000197,SUBJ000986609,2025-02-26,SULSEL,KKB,BNK005,Branch,170350000,24,APPROVE
APP00000198,SUBJ000317534,2026-06-16,SULSEL,FINTECH,BNK005,Branch,13910000,36,APPROVE
APP00000199,SUBJ000590996,2025-04-06,SUMSEL,CC,FIN004,Branch,19830000,48,REJECT
APP00000200,SUBJ000804214,2025-02-12,SULSEL,CC,BNK001,Partner,22190000,36,REVIEW
APP00000201,SUBJ000843776,2026-03-03,LAMPUNG,CC,FIN005,Mobile App,19480000,36,APPROVE
APP00000202,SUBJ000636129,2026-02-20,YOGYA,CC,BNK001,Branch,14730000,120,APPROVE
APP00000203,SUBJ000388539,2025-05-28,YOGYA,BNPL,FIN006,Partner,2650000,60,APPROVE
APP00000204,SUBJ000304309,2026-06-12,RIAU,KTA,FIN002,Branch,51470000,12,APPROVE
APP00000205,SUBJ000167082,2026-01-29,SULSEL,KPR,BNK003,Agent,853630000,48,APPROVE
APP00000206,SUBJ000252422,2026-05-26,MALUKU,KPR,BNK005,Mobile App,263030000,60,APPROVE
APP00000207,SUBJ000008574,2025-08-09,RIAU,CC,BNK005,Mobile App,24530000,120,APPROVE
APP00000208,SUBJ000597983,2025-04-21,SUMUT,FINTECH,FIN006,Mobile App,7720000,3,APPROVE
APP00000209,SUBJ000653516,2025-07-19,NTB,KTA,FIN001,Mobile App,73510000,36,REJECT
APP00000210,SUBJ000208727,2025-05-02,JATENG,CC,BNK006,Web,13120000,48,REJECT
APP00000211,SUBJ000156175,2026-06-06,SUMUT,CC,BNK001,Branch,12990000,120,APPROVE
APP00000212,SUBJ000531958,2026-06-12,JATIM,MODAL,BNK006,Branch,268030000,36,APPROVE
APP00000213,SUBJ000436774,2026-06-06,RIAU,BNPL,BNK005,Mobile App,1270000,48,REVIEW
APP00000214,SUBJ000820934,2025-11-12,KALTIM,BNPL,FIN006,Web,3710000,36,REJECT
APP00000215,SUBJ000713793,2025-08-22,KALTIM,KKB,BNK003,Mobile App,281930000,60,APPROVE
APP00000216,SUBJ000724042,2025-09-06,DKI,MODAL,BNK002,Branch,152620000,60,APPROVE
APP00000217,SUBJ000543878,2025-07-28,SUMUT,FINTECH,FIN002,Agent,11440000,3,REVIEW
APP00000218,SUBJ000559024,2025-08-01,RIAU,MODAL,FIN002,Mobile App,125890000,12,APPROVE
APP00000219,SUBJ000201603,2025-12-17,RIAU,BNPL,FIN006,Web,4580000,36,REVIEW
APP00000220,SUBJ000365746,2025-09-10,BANTEN,KTA,BNK005,Web,69340000,120,APPROVE
APP00000221,SUBJ000843700,2025-10-08,YOGYA,KKB,FIN003,Mobile App,354440000,48,REJECT
APP00000222,SUBJ000224381,2025-05-30,YOGYA,KTA,FIN006,Branch,84680000,36,REVIEW
APP00000223,SUBJ000702371,2025-07-26,SULSEL,KTA,FIN003,Web,29610000,24,APPROVE
APP00000224,SUBJ000144144,2026-06-28,JATIM,KTA,BNK002,Mobile App,70220000,6,REVIEW
APP00000225,SUBJ000209144,2025-01-06,SULUT,MODAL,BNK003,Mobile App,256360000,120,APPROVE
APP00000226,SUBJ000183568,2025-10-22,BALI,BNPL,BNK002,Web,2180000,3,REJECT
APP00000227,SUBJ000785386,2026-03-04,SULSEL,CC,BNK001,Partner,14340000,120,APPROVE
APP00000228,SUBJ000672464,2025-10-24,SULSEL,CC,FIN004,Web,25500000,48,APPROVE
APP00000229,SUBJ000766634,2026-06-21,SUMUT,MODAL,FIN003,Mobile App,100490000,6,APPROVE
APP00000230,SUBJ000897734,2026-04-15,LAMPUNG,BNPL,BNK001,Web,4520000,24,APPROVE
APP00000231,SUBJ000981284,2026-02-20,SULSEL,KKB,BNK002,Mobile App,106710000,12,APPROVE
APP00000232,SUBJ000600705,2025-09-12,DKI,KTA,FIN002,Web,86780000,36,REVIEW
APP00000233,SUBJ000719400,2025-01-12,BANTEN,KTA,BNK004,Branch,28280000,36,APPROVE
APP00000234,SUBJ000231577,2026-05-30,SULUT,FINTECH,BNK005,Web,10350000,36,APPROVE
APP00000235,SUBJ000957136,2025-08-13,SULUT,KPR,FIN002,Web,624020000,60,REVIEW
APP00000236,SUBJ000553829,2026-04-28,KALTIM,FINTECH,BNK004,Web,10820000,6,APPROVE
APP00000237,SUBJ000157131,2026-01-06,DKI,KKB,BNK001,Agent,332810000,24,APPROVE
APP00000238,SUBJ000535167,2025-06-18,BALI,KKB,BNK002,Web,280740000,120,APPROVE
APP00000239,SUBJ000846112,2026-04-02,KALBAR,KPR,FIN003,Mobile App,594740000,180,APPROVE
APP00000240,SUBJ000734406,2025-11-12,KALTIM,KTA,BNK001,Web,60480000,3,APPROVE
APP00000241,SUBJ000806325,2025-03-07,RIAU,CC,BNK002,Partner,15910000,36,APPROVE
APP00000242,SUBJ000961664,2025-05-19,KALTIM,MODAL,FIN005,Partner,138640000,60,APPROVE
APP00000243,SUBJ000563356,2026-01-22,NTB,BNPL,FIN005,Agent,1760000,48,APPROVE
APP00000244,SUBJ000754024,2026-02-07,RIAU,BNPL,BNK004,Agent,4380000,36,APPROVE
APP00000245,SUBJ000760242,2026-03-11,RIAU,FINTECH,BNK004,Mobile App,4940000,24,REJECT
APP00000246,SUBJ000070559,2025-04-26,DKI,BNPL,FIN004,Web,4910000,3,APPROVE
APP00000247,SUBJ000245722,2025-04-14,RIAU,KPR,FIN005,Web,234070000,3,APPROVE
APP00000248,SUBJ000810065,2025-08-11,KALTIM,FINTECH,BNK003,Mobile App,6440000,48,REVIEW
APP00000249,SUBJ000994595,2025-11-25,BANTEN,FINTECH,FIN005,Mobile App,7830000,36,APPROVE
APP00000250,SUBJ000334217,2025-06-29,LAMPUNG,KPR,FIN002,Branch,441090000,60,REVIEW
APP00000251,SUBJ000741948,2026-03-03,SUMUT,KTA,BNK003,Web,53150000,24,APPROVE
APP00000252,SUBJ000254655,2025-05-28,KALBAR,FINTECH,FIN003,Mobile App,7860000,180,APPROVE
APP00000253,SUBJ000395489,2025-09-19,JATIM,BNPL,FIN002,Agent,1590000,24,APPROVE
APP00000254,SUBJ000951092,2025-02-10,SULSEL,CC,FIN004,Web,17740000,120,APPROVE
APP00000255,SUBJ000790973,2025-12-07,YOGYA,FINTECH,BNK004,Partner,13980000,6,REJECT
APP00000256,SUBJ000296809,2026-05-06,SULUT,BNPL,FIN006,Mobile App,5040000,180,APPROVE
APP00000257,SUBJ000841814,2026-01-25,SUMUT,BNPL,BNK005,Mobile App,3350000,120,APPROVE
APP00000258,SUBJ000017007,2026-04-26,KALTIM,KTA,BNK004,Mobile App,48980000,24,REJECT
APP00000259,SUBJ000597467,2025-09-25,RIAU,KKB,FIN006,Mobile App,122680000,48,APPROVE
